,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,http://humanesociety.org.nz/,info@humanesociety.org.nz
,,,,,,,
,,,,,,,
,ADDRESS,MAP,,EVENT,DESCRIPTION,WEB,EMAIL
,address,latitude,longitude,name,description,,
,,,,,,,
,"3/137 North Road, Kaitaia 0482",-35.09686291,173.2548504,SPCA,Event1,https://www.spca.nz/,https://www.spca.nz/contact
,"45 Sandys Road, RD3, Kerikeri 0295",-35.1612183,173.886118,SPCA,Event2,https://www.spca.nz/,https://www.spca.nz/contact
,"143 Kioreroa Road, Port Whangarei, Whangarei 0110",-35.74622147,174.3225081,SPCA,Event3,https://www.spca.nz/,https://www.spca.nz/contact
,"6 Rawiri Place, Hobsonville, Auckland 0618",-36.80616166,174.6303201,SPCA,Event4,https://www.spca.nz/,https://www.spca.nz/contact
,"50 Westney Road, Mangere, Auckland 2022",-36.97966496,174.7912161,SPCA,Event5,https://www.spca.nz/,https://www.spca.nz/contact
,"321 Ngati Maru Highway, Thames 3578",-37.1564314,175.5513066,SPCA,Event6,https://www.spca.nz/,https://www.spca.nz/contact
,"49 Northway Street, Te Rapa, Hamilton 3200",-37.75769832,175.2385147,SPCA,Event7,https://www.spca.nz/,https://www.spca.nz/contact
,"43 Alach Street, Gate Pa, Tauranga 3112",-37.7237895,176.1247436,SPCA,Event8,https://www.spca.nz/,https://www.spca.nz/contact
,"15 Gateway Crescent, Whakatane 3194",-37.95231204,176.9675637,SPCA,Event9,https://www.spca.nz/,https://www.spca.nz/contact
,"24 Old Taupo Road, Mangakakahi, Rotorua 3015",-38.12774366,176.2329599,SPCA,Event10,https://www.spca.nz/,https://www.spca.nz/contact
,"75 Colson Road, Waiwhakaiho, New Plymouth 4372",-39.05447138,174.1238679,SPCA,Event11,https://www.spca.nz/,https://www.spca.nz/contact
,"168 Hakiaha Street, Taumarunui 3920",-38.88263009,175.2699705,SPCA,Event12,https://www.spca.nz/,https://www.spca.nz/contact
,"131 Centennial Drive, Tauhara, Taupo 3378",-38.66821978,176.1005609,SPCA,Event13,https://www.spca.nz/,https://www.spca.nz/contact
,"14 Nursery Road, Matawhero, Gisborne 4040",-38.65702441,177.9275653,SPCA,Event14,https://www.spca.nz/,https://www.spca.nz/contact
,"31 Mersey Street, Pandora, Napier 4140",-39.49227378,176.8889395,SPCA,Event15,https://www.spca.nz/,https://www.spca.nz/contact
,"8 Heathcote Road, Longlands, Hastings 4175",-39.64506619,176.8081941,SPCA,Event16,https://www.spca.nz/,https://www.spca.nz/contact
,"134 London Street, Whanganui 4500",-39.92472417,175.0363085,,Event17,https://www.spca.nz/,https://www.spca.nz/contact
,"43 Takapau Road, Waipukurau 4200",-39.99409982,176.5464117,,Event18,https://www.spca.nz/,https://www.spca.nz/contact
,"5 Easton Street, Dannevirke 4930",-40.21764506,176.0964835,,Event19,https://www.spca.nz/,https://www.spca.nz/contact
,"93 Napier Road, Terrace End, Palmerston North 4414",-40.34273351,175.6441611,,Event20,https://www.spca.nz/,https://www.spca.nz/contact
,"169 Mako Mako Road, Levin 5510",-40.62266566,175.2598771,,Event21,https://www.spca.nz/,https://www.spca.nz/contact
,"299 Ngaumutawa Road, Solway, Masterton 5810",-40.95912284,175.6135468,,Event22,https://www.spca.nz/,https://www.spca.nz/contact
,"140 Alexandra Road, Newtown, Wellington 6021",-41.30684399,174.7867664,,Event23,https://www.spca.nz/,https://www.spca.nz/contact
,"400D High Street, Motueka 7120",-41.1238719,173.0094022,,Event24,https://www.spca.nz/,https://www.spca.nz/contact
,"379 Waimea Road, Enner Glynn, Nelson 7011",-41.3036011,173.2573134,,,https://www.spca.nz/,https://www.spca.nz/contact
,"31 Fox's Island Road, Renwick 7243",-41.30359551,173.2573209,,,https://www.spca.nz/,https://www.spca.nz/contact
,"68 Mill Street, Westport 7825",-41.7600835,171.6111184,,,https://www.spca.nz/,https://www.spca.nz/contact
,"21/27 Preston Road, Blaketown, Greymouth 7805",-42.45197016,171.2000525,,,https://www.spca.nz/,https://www.spca.nz/contact
,"14 Wilmers Road, Hornby, Christchurch 8025",-43.56037415,172.537044,,,https://www.spca.nz/,https://www.spca.nz/contact
,"4 Seafield Road, Netherby, Ashburton 7700",-43.89231664,171.7670387,,,https://www.spca.nz/,https://www.spca.nz/contact
,"119 Hedley Road, RD 3, Timaru 7973",-44.30794088,171.2596488,,,https://www.spca.nz/,https://www.spca.nz/contact
,"2 Balneaves Lane, Wanaka 9382",-44.69602109,169.1723314,,,https://www.spca.nz/,https://www.spca.nz/contact
,"18 Glenda Drive, Frankton, Queenstown 9300",-45.00952633,168.7487954,,,https://www.spca.nz/,https://www.spca.nz/contact
,"281 Thames Street, Oamaru 9400",-45.09280268,170.9739684,,,https://www.spca.nz/,https://www.spca.nz/contact
,"1 Torridon Street, Opoho, Dunedin 9010",-45.85690812,170.5305957,,,https://www.spca.nz/,https://www.spca.nz/contact
,"VetSouth Gore, 8 Richmond Street, Gore 9710",-46.09640373,168.9479192,,,https://www.spca.nz/,https://www.spca.nz/contact
,"22 Harewood Road, RD 11, Invercargill 9877",-46.09641674,168.9479219,,,https://www.spca.nz/,https://www.spca.nz/contact
,,,,,,https://www.gsdrescue.org.nz/,info@gsdrescue.org.nz
,,-41.32163906,174.7617226,,,https://www.cpl-wellington.org.nz/,
