,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,MAP,MAP,NAME,WEB,email1,email2,email3,,
,,,,http://www.egar.org/,webmaster@egar.org,,,,
,,,,,,,,,
,,,,about:blank,https://mayospca.ie/contact/,,,,
,,,,https://dogsaid.ie/,info@dogsaid.ie,,,,
,,53.33640881,-6.322428637,about:blank,info@bluecross.ie,,,,
,,53.17488247,-6.935605373,http://animalfoundation.ie/,info@animalfoundation.ie,,,,
,,53.6257671,-7.888255744,https://www.ispca.ie/,info@ispca.ie,,,,
,,,,http://dar.ie/,info@dar.ie,,,,
,,,,https://www.lasthope.ie/,info@lasthope.ie,,,,
,,52.92904139,-6.535810651,http://ashanimalrescue.com/ash/,ashlm@eircom.net,,,,
,,,,https://rawr.ie/,info@rawr.ie,,,,
,,,,https://westcorkanimals.com/,info@westcorkanimals.com,,,,
,,51.80688394,-9.016006273,https://www.animalcaresociety.ie/,info@animalcaresociety.ie,,,,
,,52.37442237,-8.448620918,https://www.limerickanimalwelfare.com/,lawsanctuary@gmail.com,,,,
,,52.51085259,-7.458886144,https://www.paws.ie/,info@paws.ie,,,,
,,"53.372801825863206, -6.251652390514881","53.35097449303795, -6.275301270564208",https://www.ispca.ie/member_societies/detail/waterford_spca_ltd,info@cdpa.ie,cspca@hotmail.com,ncdspca@gmail.com,,Waterford SPCA
