,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,MICHIGAN,,,,,,,
,,,,"Special Animal Friends and Rescue, Inc.",https://safarianimalrescue.org/,info@safarianimalrescue.org,,,
,,,"41.8891497377857, -84.04647755440253",Lenawee Humane Society,https://lenhumanesoc.org/,https://lenhumanesoc.org/contact-us/,,,
,,,"43.371253629133584, -84.65269061208429",Dalis to the Rescue,https://www.dalistotherescue.com/,Dalis2therescue@gmail.com,,,
,,,"45.09879043796708, -83.44363232355492",Huron Humane Society,https://www.huronhumanesocietyinc.org/,https://www.huronhumanesocietyinc.org/contact-us,,,
,,,"42.306369741980085, -83.6549957496744",Humane Society of Huron Valley,https://www.hshv.org/,info@hshv.org,,,
,,,,Few Steps From Home INC.,,Dogrescue0146@gmail.com,,,
,,,"43.617615574684926, -83.87152890277764",Humane Society of Bay County,https://humanesocietybaycounty.org/,info@humanesocietybc.org,,,
,,,"42.09966501444217, -83.53847946911638",Friends of Michigan Animals Rescue,https://www.friendsofmichigan.org/,info@friendsofmichigan.org,,,
,,,,The Buster Foundation,https://busterdogs.com/,info@busterdogs.com,,,
,,,"42.04193062051246, -86.43564034586986",Humane Society of SW Michigan,https://humanesocietyswm.org/,humanesocietyofswmichigan@gmail.com,,,
,,,,GreyHeart Greyhound Adoption of Michigan,https://www.greyheart.org/,GreyHeartGreyhoundAdoption@gmail.com,,,
,,,"43.733153293895946, -85.52263938454463",Animal Rescue Coalition (ARC) of Mecosta County,http://www.arcofmecostacounty.com/,info@arcofmecostacounty.com,,,
,,,,Michigan Humane,https://www.michiganhumane.org/,social@michiganhumane.org,https://www.michiganhumane.org/,,
,,,,Make a Difference Rescue,https://makeadifferencerescue.com/,makeadifferencerescue@gmail.com,,,
,,,"45.20814935310098, -84.99377520678767",Charlevoix Area Humane Society,https://www.charlevoixhumane.org/,pets@charlevoixhumane.org,,,
