,,GEORGIA,,,,,,
,,,"31.549625687018022, -84.20410464920765","Albany Humane Society, Inc.",https://albanyhumane.org/,kim.alford@swacalbany.org,,
,,,,Angels Among Us Pet Rescue,https://angelsrescue.org/,info@angelsrescue.org,,
,,,,You Lucky Dog Rescue,http://youluckydogrescue.org/,info@youluckydogrescue.org,,
,,,,Athens Canine Rescue,http://athenscaninerescue.com/,rescue@athenscaninerescue.com,,
,,,"33.78194002867689, -84.41020600586285",Atlanta Humane Society,https://atlantahumane.org/,contact@atlantahumane.org,,
,,,"33.806230507036304, -84.08142530347794",Adopt A Greyhound Atlanta,http://greyhounds2.org/?petwalk,adopt@greyhounds2.org,,
,,,,Atlanta Lab Rescue,https://www.atlantalabrescue.com/,info@atlantalabrescue.com,,
,,,"33.835660648870274, -84.47227380330084",Best Friends Animal Society,https://bestfriends.org/atlanta,contactatlanta@bestfriends.org,,
,,,,Furkids and SmallDog Rescue & Humane Society,https://furkids.org/,info@furkids.org,,
,,,,Golden Retriever Rescue of Atlanta,https://www.grra.com/,adoptabledogs@grra.com,,
,,,,"Laskeys Lucky Ones and Volunteers, LLOV",https://llovorg.wordpress.com/,laskeysluckyones@gmail.com,,
,,,"33.88710904442036, -84.2590839708219",LifeLine Animal Project,https://lifelineanimal.org/,info@lifelineanimal.org,,
,,,,Orphan Annie Rescue,https://www.orphanannierescue.org/,info@orphanannierescue.org,,
,,,"34.46135694539183, -84.26260470705293",Big Canoe Animal Rescue,https://www.bigcanoeanimalrescue.org/,bigcanoeanimalrescue@gmail.com,,
,,,"34.979007186484296, -84.07892140703895",Castoff Pet Rescue,https://castoffpetrescue.org/,ssegce@gmail.com,,
,,,"34.90760437745628, -83.90439021032695",Mountain Shelter Humane Society,https://pawsga.org/,contact@pawsga.org,,
,,,"34.86568308771179, -84.30949560800369",Humane Society of Blue Ridge,https://www.humanesocietyofblueridge.org/,humanesociety@humanesocietyofblueridge.org,,
,,,"33.94613785097829, -83.48311496982791",Pawtropolis Helping Paws Rescue,http://www.pawtropolis.com/helping-paws-rescue/adoptables.php,bark@pawtropolis.com,,
,,,"33.940331347251444, -83.49164961509129","Petzone Dog Rescue, Inc.",,petzonedogs@gmail.com,,
,,,"31.25267038958244, -81.44563848001582",Humane Society of South Coastal Georgia,https://hsscg.org/,humanesociety@hsscg.org,,
,,,"34.11887922967817, -84.00917379575213",Cat Rangers,https://www.catrangers.org/,adoptions@catrangers.org,,
,,,"30.911891083216474, -84.10007058986533",Best Friends Dog Rescue,http://www.bestfriendsdogrescue.net/,bestfriendsdogrescue@windstream.net,,
,,,"34.152405618454615, -84.83028395320757",Etowah Valley Humane Society,https://www.etowahvalleyhumane.org/,bryan.canty@etowahvalleyhumane.org,,
,,,,"Cedartown Animal Rescue, Education and Sterilization",http://www.caresga.org/,info.caresga@gmail.com,,
,,,"32.633122920662224, -83.6652383325426",Humane Society of Houston County,https://humanesocietyhoco.org/,general@humanesocietyhoco.org,,
,,,"34.66054496092653, -83.72507505632535",Charles Smithgall Humane Society,https://www.charlessmithgallhumanesociety.org/,smithgallhumanesociety@windstream.net,,
,,,,"Georgia Canine Rescue and Rehabilitation, Inc",https://www.facebook.com/GaCanineRescue/,pittieprotector@yahoo.com,,
,,,"34.03108903972446, -83.24336296729253",Colbert Veterinary Rescue,https://colbertvetrescue.org/,info@colbertvetrescue.org,,
,,,"4900 Milgen Rd Columbus, Georgia, Stati Uniti d'America 31907",Paws Humane Society,https://pawshumane.org/,marketing@pawshumane.org,,
,,,,"Doberman Rescue of Rockdale, Inc",https://www.dobermanrescueofrockdale.com/,cruzmine@comcast.net,,
,,,,Lake Blackshear Dog Rescue,https://www.facebook.com/lakeblacksheardogrescue/,lakeblacksheardogrescue@gmail.com,,
,,,"34.273195079304145, -84.04927846314224",HUMANE SOCIETY OF FORSYTH COUNTY,http://www.forsythpets.org/,shelter@forsythpets.org,,
,,,,Canine Pet Rescue,https://www.caninepetrescue.com/home/,sean@caninepetrescue.com,apply@caninepetrescue.com,
,,,"34.48313613302494, -83.93093743677366",TLC Humane Society,https://www.tlchs.org/,info@tlchs.org,,
,,,"33.94408108522625, -84.90776266022476",Jennifer's Pet Rescue,https://jenniferspetrescue.com/,JPR@jenniferspetrescue.com,,
,,,"33.91341841283305, -84.80142750435252",Kitty Up Cat Rescue,,kittyupcatrescue@gmail.com,,
,,,"34.80258957536991, -84.96031945086874",Humane Society of Northwest Georgia ,https://hsnwga.org/,contact@hsnwga.org,,
,,,,"Humane Animal Resource Team, Inc (HART)",https://www.facebook.com/HARTofMcIntosh,gavoters@darientel.net,,
,,,"34.36447593355851, -84.12363767216318",Dawson County Humane Society,https://dawsoncountyhumanesociety.org/,dawsonhumane@windstream.net,,
,,,,Oakhurst Guinea Pig Rescue,http://www.ogpr.org/,thomas.pederson@ogpr.org,,
,,,"33.731532397574824, -84.19871368148573",PAWS Atlanta,https://pawsatlanta.org/,www.pawsatlanta.org ,,
,,,,Georgia Doberman Rescue,https://www.georgiadobermanrescue.com/,contact@georgiadobermanrescue.com,,
,,,"34.00622637048367, -84.13474816072507",Planned PEThood of Georgia,https://pethoodga.org/,info@pethoodga.org ,,
,,,,Homeward Bound Pet Rescue,https://hbpr.org//,https://hbpr.org//contact.html,,
,,,,CSRA Chihuahua Rescue Inc. ,,Csrachihuahuarescue@gmail.com,,
,,,,Fayette Humane Society,https://fayettehumane.org/,info@fayettehumane.org,,
,,,,"RescueCats, Inc.",https://www.rescuecats.org/home.aspx,rescuecats@hotmail.com,,
,,,,Amal Animal Rescue Foundation,https://www.amalanimalrescuefoundation.org/,shirleybadawi@gmail.com,,
,,,,"Save A Pet, Inc",,saveapetincweb@gmail.com,,
,,,"34.29019799689161, -83.8092021430519",Humane Society of Northeast Georgia,https://humanesocietyofnortheastgeorgia.org/,CustomerCare@HSNEGA.org,,
,,,,"Southern Comfort Animal Rescue, Inc.",https://www.socorescue.com/info/display?PageID=10777,socorescue@yahoo.com,,
