,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,WEB PAGE,EMAIL,EMAIL 2,EMAIL 3,EMAIL 4,EMAIL 5,EMAIL 6,EMAIL 7,EMAIL 8,EMAIL 9,EMAIL 10,EMAIL 11,EMAIL 12,EMAIL 13,EMAIL 14,EMAIL 15
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,https://animalliberationfrontline.com,https://animalliberationfrontline.com/contact-animal-liberation-front-line/,,,,,,,,,,,,,,
,53.83994543,-1.928468587,http://www.battersea.org.uk/,info@battersea.org.uk,"38.018892260365746, -84.55141620265265","52.36940793369312, 4.905472440184366","31.54734742024332, 74.37730477623597","14.73034864969585, -17.47267830486182",,,,,,,,,,
,51.51310487,-0.07928412181,http://www.thebrooke.org/,info@thebrooke.org,Info@BrookeUSA.org,mail@thebrookeindia.org,info@thebrooke.org.pk,Info.senegal@thebrooke.org,brookeea@thebrookeeastafrica.org,info@thebrookeethiopia.org,,,,,,,,
,51.53124094,-0.232781662,https://themayhew.org/,info@mayhewanimalhome.org,,,,,,,,,,,,,,
,51.41638882,0.07865214005,http://drinkingfountains.org/,ralph.baber@drinkingfountains.org,jane.goldberger@drinkingfountains.org,,,,,,,,,,,,,
,51.41639389,0.0786537659,https://www.worldanimalprotection.org/,info@worldanimalprotection.org,africaenquiries@worldanimalprotection.org,info@worldanimalprotection.org.au,contato@worldanimalprotection.org.br,info@worldanimalprotection.ca,info@worldanimalprotection.org.cn,infola@worldanimalprotection.org,info@worldanimalprotection.dk,info@worldanimalprotection.org.in,info@worldanimalprotection.nl,info@worldanimalprotection.org.nz,info@worldanimalprotection.se,info@worldanimalprotection.or.th,pressofficer@worldanimalprotection.org.uk,info@worldanimalprotection.us
,52.12235164,-0.2613772445,https://rspb.org.uk/,membership@rspb.org.uk,"-1.2545021471818356, 36.794958396842034","-33.821019058195866, 151.1947853550857","-23.56977407372379, -46.639626025114","43.707654503116444, -79.3959430766736","39.94427729241931, 116.44502140115205",,"55.678607542684524, 12.576890808765897","28.566474571355002, 77.07437746205989","52.085225233480394, 4.308915628460861",,,,,
,,,https://africanconservation.org/,,,,,,,,,,,,,,,
,50.72850008,-1.83295871,https://www.arc-trust.org/,enquiries@arc-trust.org,,,,,,,,,,,,,,
